PS3,Channel,EC
Base,MT,1.0210132
Plus,MT,1.0210132
Specials,MT,1.1
Instant Cereals,MT,0.9759249
Cereal Biscuits,MT,1.029177
Fruits,MT,1.0073772
Savoury Meal,MT,1.0073772
Drinks,MT,1.023126
Dairy/desserts,MT,1.023126
Ready To Eat Cereals,MT,1.023126
Liquid Cereals,MT,1.023126
AMN,MT,1.023126
Base,PHARMA,0.9927637
Plus,PHARMA,0.9927637
Specials,PHARMA,1.1
Instant Cereals,PHARMA,0.85
Cereal Biscuits,PHARMA,1.15
Fruits,PHARMA,1.15
Savoury Meal,PHARMA,1.15
Drinks,PHARMA,1.055075
Dairy/desserts,PHARMA,1.055075
Ready To Eat Cereals,PHARMA,1.055075
Liquid Cereals,PHARMA,1.055075
AMN,PHARMA,1.055075
